# Exact DSR local PointLight specular receiver census.
# Derived from dsrrl.shader_math_* canonical catalog; HemEnv/HemEnvLerp aliases collapse to identical DXBC.
receiver_class	code_sha256	code_size	representative_shader_index	alias_count	representative_shader_name
fixed_spc_pntss	1d918a70c27e37d2525f4788c32f2cc42d21545e6644078b45015ad1e5a64ecd	23836	843	2	FRPG_Phn_DifSpcBmp___LitCsd_HemEnvLerpPntSS.fpo
fixed_spc_pntss	bcb79497cba4628972100b8157ea19b6e880dcb648ff2dda42ba136e123bcd11	22808	862	2	FRPG_Phn_DifSpcBmp___LitSdw_HemEnvLerpPntSS.fpo
fixed_spc_pntss	88811ea846d68a6613857b8cbd5607224a860252a4b6a03f512240da163d06a9	19772	881	2	FRPG_Phn_DifSpcBmp___Lit____HemEnvLerpPntSS.fpo
fixed_spc_pntss	ab790c5f88315c2b8471d78305273901822bd79763c2848c1bd21b94f248c9d1	23448	900	2	FRPG_Phn_DifSpcBmp______Csd_HemEnvLerpPntSS.fpo
fixed_spc_pntss	d0364fb742de8db8b4162369bb632601165c42365b5578f31a00e7dfb995c88c	22384	919	2	FRPG_Phn_DifSpcBmp______Sdw_HemEnvLerpPntSS.fpo
fixed_spc_pntss	4c730143360b484dabc477460dddeae0bdef7bb7bcee500cd1b5fbf492cf5525	19324	938	2	FRPG_Phn_DifSpcBmp__________HemEnvLerpPntSS.fpo
fixed_spc_pntss	add19a6d411589298f7efb3cc1a186dd50338b7b7d0653af8a2a9f63f96ce992	22764	957	2	FRPG_Phn_DifSpc___MulLitCsd_HemEnvLerpPntSS.fpo
fixed_spc_pntss	d0e59d318fb2f0fe02e154ea3d30dcd73c3fa31cbeff2fbd31fe681d088d6a86	21700	976	2	FRPG_Phn_DifSpc___MulLitSdw_HemEnvLerpPntSS.fpo
fixed_spc_pntss	e6c7deaf7103c0b853966994356c258eb26293f5bdb353ec7922a8aeb40e2947	18668	995	2	FRPG_Phn_DifSpc___MulLit____HemEnvLerpPntSS.fpo
fixed_spc_pntss	0edb75fc1a808458aabd61349fe17ac81e3f8b3ead9c60a7e583f3ea1a2e5210	22308	1014	2	FRPG_Phn_DifSpc___Mul___Csd_HemEnvLerpPntSS.fpo
fixed_spc_pntss	64a1a77dbd8b33e574b1e39db94fce9c92f726f4a86c882d04469b59061e64c4	21244	1033	2	FRPG_Phn_DifSpc___Mul___Sdw_HemEnvLerpPntSS.fpo
fixed_spc_pntss	096c4cd1cf0b391f48c173f93a86902e3934a759f6bce9290aeb34271779d80b	18216	1052	2	FRPG_Phn_DifSpc___Mul_______HemEnvLerpPntSS.fpo
fixed_spc_pntss	85de4a02d096c937240198d7a5f3449ae90c02d4cd8f399f57d06450cc82e3ff	22792	1071	2	FRPG_Phn_DifSpc______LitCsd_HemEnvLerpPntSS.fpo
fixed_spc_pntss	55662083e8b19bb1c7b9ff21ea2e104312ed8fdc217dc39cf225ae485c476adf	21764	1090	2	FRPG_Phn_DifSpc______LitSdw_HemEnvLerpPntSS.fpo
