# source=DSR/shader/FRPG_FlverPBL_fpo_DX11.shaderbnd.dcx
# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# source_bnd3_sha256=9ad94df9e282e6fd559605506aa16d74eeb1ef3ebb1ed3002c5affee80018464
# extraction=bnd3:file_headers@0x20:stride24; exact SHA256 over embedded DXBC bytes
shader_index	shader_name	stratum	code_size	code_sha256	paired_hemenv_index	paired_hemenv_name	paired_hemenv_size	paired_hemenv_sha256	paired_stable_receiver_id
1042	FRPG_Phn_DifSpc___Mul_______HemDir3.fpo	spc	10872	703876c503fb370ebf939f2d20957a45f101a8fc767206db0b0274912a563216	1046	FRPG_Phn_DifSpc___Mul_______HemEnv.fpo	17400	46c09d580e56f5281cff062678cc5156a665b253864a5d04ad53246671296de0	41
1061	FRPG_Phn_DifSpc______LitCsd_HemDir3.fpo	spc	14568	9a810593dbeae9d83e5d398bf1cc679ffaa0ee0484c4f8d6327a7c02754dcd34	1065	FRPG_Phn_DifSpc______LitCsd_HemEnv.fpo	19164	6a6e4ca937fb3ec1308e2a6500148841c5d60bb5dfbd06ae5385dcc38843444e	42
1080	FRPG_Phn_DifSpc______LitSdw_HemDir3.fpo	spc	13492	67da933de1f32ab6bd487307b27c2b24d0884eee133ef279d799a743f7ff2506	1084	FRPG_Phn_DifSpc______LitSdw_HemEnv.fpo	18864	a927579c36b9c037b644dafec34e49d5fb4f549ae22674259d1efa051adbd779	43
1099	FRPG_Phn_DifSpc______Lit____HemDir3.fpo	spc	10540	6276fa71187172e54d171b7322abb6d9b007f9a86619128335d16a0e67cd60a2	1103	FRPG_Phn_DifSpc______Lit____HemEnv.fpo	17380	a1c56ba86c0e0e8204560b5907371ba57966199521b6b6204e2adaa4009bb02e	44
1118	FRPG_Phn_DifSpc_________Csd_HemDir3.fpo	spc	14384	c8dab85146814c9c3f8c8384e2d8143d73d60c51cabce2cb2fff3f46bdc4feb4	1122	FRPG_Phn_DifSpc_________Csd_HemEnv.fpo	18696	dc67d66eb8c116929032fa14a5f6a989fc9c57df211aeb89e37c9e52bca2e934	45
1137	FRPG_Phn_DifSpc_________Sdw_HemDir3.fpo	spc	13308	6d5efd008c265dbf78571d1185a6dbbe393a57db9e7c8e1fb629e53fb03b2852	1141	FRPG_Phn_DifSpc_________Sdw_HemEnv.fpo	18396	6a55311ea94f9fe4fd274336f41eb1808e7a75bd39cf4fb0fbd2c86a60a6cb2b	46
1156	FRPG_Phn_DifSpc_____________HemDir3.fpo	spc	10348	25d88f2e087e0df8d08cf2fff51aa6f6d27e4f4c6aa99f8d4a827577c0bc01b6	1160	FRPG_Phn_DifSpc_____________HemEnv.fpo	16900	1574e296e30b5477dea327c0a0e674e2671f791ec6e6e855a464e6e84dbf6274	47
1175	FRPG_Phn_Dif___BmpMulLitCsd_HemDir3.fpo	nospc	16072	1fc75c42188595566fee79f64490d892eedb8a98d63ebbabf73cbe4adb083b5a	1179	FRPG_Phn_Dif___BmpMulLitCsd_HemEnv.fpo	7252	2a37e727c1436c221694123fc03b8af2d0b9f8fbbdd27c1cec23a6bfd889d955	0
1194	FRPG_Phn_Dif___BmpMulLitSdw_HemDir3.fpo	nospc	14996	29acd82bda609d2293f37c8b1811a93e3b31cd987d238c0c1859dd8ff506624c	1198	FRPG_Phn_Dif___BmpMulLitSdw_HemEnv.fpo	7276	9bc673f0a79eb8576e5d642fc1044a48348fb5b87bfaa9ac16f96e00ee2d8645	0
1213	FRPG_Phn_Dif___BmpMulLit____HemDir3.fpo	nospc	12044	85ac5bab20b5c07bf54f86a9b1dc0e26f8cefe482437d6e8bd9fc63fc72cda32	1217	FRPG_Phn_Dif___BmpMulLit____HemEnv.fpo	7252	2a37e727c1436c221694123fc03b8af2d0b9f8fbbdd27c1cec23a6bfd889d955	0
1232	FRPG_Phn_Dif___BmpMul___Csd_HemDir3.fpo	nospc	15852	e3a6f81e1b91f662bed7fb26b19c821a62764ab58def0b2aadf5d98bfad3b031	1236	FRPG_Phn_Dif___BmpMul___Csd_HemEnv.fpo	7228	286743253dde0575b8a06650624714b4e66c0b077051991ca9939d5b44d2e7df	0
1251	FRPG_Phn_Dif___BmpMul___Sdw_HemDir3.fpo	nospc	14776	3605df99b55a5a3ce0b80fa42253344301ef2c0514b80c353c098c4852baa6c6	1255	FRPG_Phn_Dif___BmpMul___Sdw_HemEnv.fpo	7252	ffd02750e41b73011503c4fb25102242f4e36429313e52b704a860b5d85b6f3a	0
1270	FRPG_Phn_Dif___BmpMul_______HemDir3.fpo	nospc	11840	90df436446cb33b1b1dee9a481f8c4364b8559b1e7bd01f876cfd65d0728b2fc	1274	FRPG_Phn_Dif___BmpMul_______HemEnv.fpo	7228	286743253dde0575b8a06650624714b4e66c0b077051991ca9939d5b44d2e7df	0
1289	FRPG_Phn_Dif___Bmp___LitCsd_HemDir3.fpo	nospc	14900	14848856f0f9366ec8f90ad7724105c68c9356baad721a8296724ffdbc777566	1293	FRPG_Phn_Dif___Bmp___LitCsd_HemEnv.fpo	19712	01299fee144ee1ef2aa63c0f5633279a155e37c2c4bd6dbb546967cf7890b04f	0
1308	FRPG_Phn_Dif___Bmp___LitSdw_HemDir3.fpo	nospc	13824	fa37d341f50eefe91eb9822b32c0befd4c0317f1d0072bcc2212ecc5149f5a58	1312	FRPG_Phn_Dif___Bmp___LitSdw_HemEnv.fpo	19412	0fa0778ed073c62de9c491785088ee376b1a124980a356d0181509e8b57b8d7e	0
1327	FRPG_Phn_Dif___Bmp___Lit____HemDir3.fpo	nospc	10872	6a4b1213e3f665f6a326471b83ca0f8b3de405e0740e6d4390ac1f7e89b33a39	1331	FRPG_Phn_Dif___Bmp___Lit____HemEnv.fpo	17928	f0ce5a55ebec00d41ce814fc9028457400f25bf2463c4a486bdcd50265468a0c	0
1346	FRPG_Phn_Dif___Bmp______Csd_HemDir3.fpo	nospc	14716	cfb568d96cf10f6d080f256059ecd641dc1c9c9bf1720afbb1c08ad05187aab0	1350	FRPG_Phn_Dif___Bmp______Csd_HemEnv.fpo	19244	6af3e47d98146b5ea66887c280b560460266ee0eb4768e7b739a1603f4909993	0
1365	FRPG_Phn_Dif___Bmp______Sdw_HemDir3.fpo	nospc	13640	89077a272b3314afe426a4cf352e2ad0578df3805b6acf8302b543d936d0d130	1369	FRPG_Phn_Dif___Bmp______Sdw_HemEnv.fpo	18944	c9333926f06e5a65cbc5950eb8d14d43cb9a80ebc2233d530b6af79d96c84e30	0
1384	FRPG_Phn_Dif___Bmp__________HemDir3.fpo	nospc	10708	5e636f99234b728c9f2fdd4997f19275294882444c8943c72aaffaed1882669a	1388	FRPG_Phn_Dif___Bmp__________HemEnv.fpo	17448	a3bf7855d74dd579acadbdcb2feba602972b50e7c3d829416e7b1e41766ca301	0
1403	FRPG_Phn_Dif______MulLitCsd_HemDir3.fpo	nospc	14136	aaac667e83ea8fb19070c8033c732e22d35e21790392cb52374a64a9d53d7292	1407	FRPG_Phn_Dif______MulLitCsd_HemEnv.fpo	7156	a535ac4de2fc8505d65f5a89298d832cba6d7fb27a95d03e3221e040b97d2464	0
1422	FRPG_Phn_Dif______MulLitSdw_HemDir3.fpo	nospc	13060	9fa00e9eb724293671c6fda32d58fd65a5743d93118e2828f07e6393cec60341	1426	FRPG_Phn_Dif______MulLitSdw_HemEnv.fpo	7180	08f07861e9a5cb0c67be9753aed55cbac1882f638002d2ddd36b2e1ee5b8d762	0
1441	FRPG_Phn_Dif______MulLit____HemDir3.fpo	nospc	10108	48633a1db3f1aee01372ad8c8acd30979ff59022a447ab579ca9031dbcdc20ad	1445	FRPG_Phn_Dif______MulLit____HemEnv.fpo	7156	a535ac4de2fc8505d65f5a89298d832cba6d7fb27a95d03e3221e040b97d2464	0
1460	FRPG_Phn_Dif______Mul___Csd_HemDir3.fpo	nospc	13916	103ddf9f766fee190e60bc994addbb1e520fca358fb393babdc7eb30a681dd35	1464	FRPG_Phn_Dif______Mul___Csd_HemEnv.fpo	7132	bee0d61247d8e6f2d5a4dbb15de0109d0168cf6f49d197f5caff75be39ef0b28	0
1479	FRPG_Phn_Dif______Mul___Sdw_HemDir3.fpo	nospc	12840	073a1252ac420def43d9edb455c3c68c87d47b1dad66a418466eb697dafc7295	1483	FRPG_Phn_Dif______Mul___Sdw_HemEnv.fpo	7156	41365f553ef3d6e301e75bc1a7edff4e71f8e4866d4f0ebd458111242ff231de	0
1499	FRPG_Phn_Dif______Mul_______HemDir3.fpo	nospc	9908	69076b2583aca16dcdfacf73e1eb99d30ab6b81eb0cad02f9d462b8657c841bc	1503	FRPG_Phn_Dif______Mul_______HemEnv.fpo	7132	bee0d61247d8e6f2d5a4dbb15de0109d0168cf6f49d197f5caff75be39ef0b28	0
1518	FRPG_Phn_Dif_________LitCsd_HemDir3.fpo	nospc	13800	4e322206fc640a337e6849aa04c81c4f9aa32aa26b4b70b20c8b6cfe64f4ff10	1522	FRPG_Phn_Dif_________LitCsd_HemEnv.fpo	18552	362646161ca19e2005f786cd17ce8a851ea27575531ffbe2d362c1af2036d443	0
1537	FRPG_Phn_Dif_________LitSdw_HemDir3.fpo	nospc	12724	148ace419030f039d12fd7e96006e143faa4a6c104f4899bb59c32f8e244d0be	1541	FRPG_Phn_Dif_________LitSdw_HemEnv.fpo	18252	576797104b5e186e728175f73fff36ef06fc9b69cc4a5d78fb092077add901ea	0
1556	FRPG_Phn_Dif_________Lit____HemDir3.fpo	nospc	9772	02dd60a9ff1a1001d4a69e7c8e3867953e9578e71924149a01520d43a868efe6	1560	FRPG_Phn_Dif_________Lit____HemEnv.fpo	16768	b8fdbd18f7c283049514961f3541d12f42f851ef9d51833e35c64c1a3c88cd2b	0
1575	FRPG_Phn_Dif____________Csd_HemDir3.fpo	nospc	13616	5dfe871d355abe9dfe58594c69b5f91634c53396d87f16cd3194bba97c87b535	1579	FRPG_Phn_Dif____________Csd_HemEnv.fpo	18084	e4fe85eb47aad8af4773dd66128c52d299d7c0f1318de0306de4e6170e5d12d2	0
1594	FRPG_Phn_Dif____________Sdw_HemDir3.fpo	nospc	12540	5b2add12acd5e3746c6633e9b41b656c01df3d9177fe535b4a4a1f71e7e7d982	1598	FRPG_Phn_Dif____________Sdw_HemEnv.fpo	17784	69351fae66925f04b0abe071c046360c8a032a78e9c21d5c8b9a5b34d4991d40	0
1615	FRPG_Phn_Dif________________HemDir3.fpo	nospc	9608	445582ef138aa6b91d3055acce17e7aa1f40b7cc10e1b17b25307f28455dd8fa	1619	FRPG_Phn_Dif________________HemEnv.fpo	16284	43aeadb253ae63c4bf5e5fed36a037630a55798bf8cb78494879fe0ec0fee7dd	0
