# source_dcx_sha256=ad180732ac79d5d98783aa504c789c2bab15e515c3b0f66b237d8b8c69113394
# generator_semantics=exact cb0[92..99] to b13[0..7] + dcl_constantbuffer b13[8] + RDEF DSRRL_LightBankCarrier b13 binding + DSRRL DXBC checksum
shader_index	source_sha256	replacement_size	replacement_sha256
1251	3605df99b55a5a3ce0b80fa42253344301ef2c0514b80c353c098c4852baa6c6	15368	3e5d66f79c185697f392efb763dececd280590b50bed9c13ec11bbd4d8323a65
1270	90df436446cb33b1b1dee9a481f8c4364b8559b1e7bd01f876cfd65d0728b2fc	12368	6d9651db956a3c42fcfd8b129fb5debcf588ff64a3a6061b061364923019ccce
1289	14848856f0f9366ec8f90ad7724105c68c9356baad721a8296724ffdbc777566	15428	f139dd1a25f36a9910224e26b74997e42278d5e5ff93ae5db22d7745b8c117f5
1308	fa37d341f50eefe91eb9822b32c0befd4c0317f1d0072bcc2212ecc5149f5a58	14352	f79ad70a691abecec08f58f0f7fe880b701e8e4be115ff1f43de3859757ca311
1327	6a4b1213e3f665f6a326471b83ca0f8b3de405e0740e6d4390ac1f7e89b33a39	11336	5221ace3cdda85e97d22825929fb19f29fa7e13def0816a8c99ee0b7d8cdb071
1346	cfb568d96cf10f6d080f256059ecd641dc1c9c9bf1720afbb1c08ad05187aab0	15180	7a5b378227b2cf081def3d25d32d39393f5a00cac41a992e6ac1c1fc4a1a22d6
1365	89077a272b3314afe426a4cf352e2ad0578df3805b6acf8302b543d936d0d130	14104	7964c82cac7ad2b05219e7c038b1b6e791b47a2edb042c32e5811d4f6751da4e
1384	5e636f99234b728c9f2fdd4997f19275294882444c8943c72aaffaed1882669a	11108	117f06aa996b2efd310444e507d8c998fd32ab6f237bea6fe365ba72e1ee6750
1403	aaac667e83ea8fb19070c8033c732e22d35e21790392cb52374a64a9d53d7292	14664	7a29b5feeec6634c4880bb8e57708f56f2dd0bbef886f3128def61143efaa218
1422	9fa00e9eb724293671c6fda32d58fd65a5743d93118e2828f07e6393cec60341	13588	d866c82e8942c6fff8fa681b6bf8973acf6d83d455553787d2f9c39ade248689
1441	48633a1db3f1aee01372ad8c8acd30979ff59022a447ab579ca9031dbcdc20ad	10572	0cfcd06cd04673346ee45620326836ae1689e56ffa9d1db8c3ce93d040140329
1460	103ddf9f766fee190e60bc994addbb1e520fca358fb393babdc7eb30a681dd35	14380	d34b7c6c81e28521eded798bb327aed39d6aa2c2cd08764aaba5443b4d1ff94c
1479	073a1252ac420def43d9edb455c3c68c87d47b1dad66a418466eb697dafc7295	13304	6c967f26c7d5032d63869169393dfde4bf1a24bd2c2332c4f8397c6d63d61c8a
1499	69076b2583aca16dcdfacf73e1eb99d30ab6b81eb0cad02f9d462b8657c841bc	10308	9003d8749fdb3a0ba4a146e7ba5e5f55d1a1e0d01939b438183afe3ae8ac24d5
1518	4e322206fc640a337e6849aa04c81c4f9aa32aa26b4b70b20c8b6cfe64f4ff10	14264	44bdf4a099980f58002c9a3512117bfb94ecd7151088ea96a5c90e86e0591dd5
1537	148ace419030f039d12fd7e96006e143faa4a6c104f4899bb59c32f8e244d0be	13188	a84b16a88162e8928c5f2130790721e29a416ecdc230790db87edefaacb9abbb
1556	02dd60a9ff1a1001d4a69e7c8e3867953e9578e71924149a01520d43a868efe6	10172	df650d83d651ba23c0a607ba879c839bc9234bebc287cdb4787a8f2f3e221554
1575	5dfe871d355abe9dfe58594c69b5f91634c53396d87f16cd3194bba97c87b535	14016	c725c712e22f5f25230e432012979f55d03b3848d557ad5b66a800320714853c
1594	5b2add12acd5e3746c6633e9b41b656c01df3d9177fe535b4a4a1f71e7e7d982	12940	bfa9b266bf9eb7d1476e63a65446d5e660e1a766e1194d8a1a87667c10934305
1615	445582ef138aa6b91d3055acce17e7aa1f40b7cc10e1b17b25307f28455dd8fa	9944	db7824adf7ac09b7448e7fae5655028bbf6cf2a23ca2930c09f47eaa5c6f29c7
