label	receiver_class	dsr_size	dsr_sha256	ptde_hemenv_size	ptde_hemenv_sha256	ptde_hemenvlerp_size	ptde_hemenvlerp_sha256	source_zip_sha256
FRPG_Phn_DifSpcBmp___LitCsd_HemEnvPntSSSS.fpo	fixed_spc_pntssss	27396	3cbc73731a1e848ccd97d6e490aa43ee7b8afc535cc104fe47d3e8751f93b631	6564	3fbbcc67ff7734c5da62569acb554742655bd2b4258fcabd1fec3b87f20969a3	6924	fcf47a385e9d1ca70d190864190202526966dfdc1a0ab7879aef585426382780	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp___LitSdw_HemEnvPntSS.fpo	fixed_spc_pntss	22808	bcb79497cba4628972100b8157ea19b6e880dcb648ff2dda42ba136e123bcd11	5108	ed4416d063fe93db400e2baadefd073d7173bbadc57267777db040a3960643cb	5468	1e5763af055508e695d5785c87bfa6788b90846b5e68f15622440f5af50ccf7e	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp___LitSdw_HemEnvPntSSSS.fpo	fixed_spc_pntssss	26424	213cd2de59f19a673c9e79bb00f727e43e5dcefc1e4cf91a08e678d1bd7e611c	5748	df91d3bc1d1b6072f3bddd9b0bda8e64fd6744f92657904195e687ea45f4c758	6108	144e71891b6572604779ac0008f638e0806f43ad407f0ce31b0de1b5b6b91e8b	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp___Lit____HemEnvPntSS.fpo	fixed_spc_pntss	19772	88811ea846d68a6613857b8cbd5607224a860252a4b6a03f512240da163d06a9	3612	a240f6644c3a0056a688bfcd1b9731177162012f27008c4b80d755189146c25b	3972	adc174e83fc5c21cbfbdd2388ece7b79cdf94fabf2a111220c00d0d51b0a008e	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp___Lit____HemEnvPntSSSS.fpo	fixed_spc_pntssss	23296	8f30f6f7a3347eaca8ba481c6836488b4bdd66cf2e3e8c394009c0e80dff28ed	4252	83f8a3642b885323a2279c7206b367dc77bd90fdd1374cbe47eccdd2ffe7f4b0	4612	a722b48b4134bc7630f07942585e91edafd89cfe724f0c5e8d1b9bdb8ba67603	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp______Csd_HemEnvPntSS.fpo	fixed_spc_pntss	23448	ab790c5f88315c2b8471d78305273901822bd79763c2848c1bd21b94f248c9d1	5836	5905b701a7494f95e8f96036f234123ddbde6a6ade7a35a200d28a453d5a9d2e	6196	80104340ebb6f2a8d1a4c46f291561a498f98c75200f97323b47da87709925b4	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp______Csd_HemEnvPntSSSS.fpo	fixed_spc_pntssss	27064	2aba725e0572f19481d13a21b9b36047e25291b1231197458b5a0869eee6660f	6476	f9d397d4b1c56d0f970fc6778c138d8fd99b677226512ee29d28ebf6f30997e5	6836	9082ef3c342e6fc80253dabe88d0522ee952b2f19c947b9b4ff33c2b4ca094e9	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp______Sdw_HemEnvPntSS.fpo	fixed_spc_pntss	22384	d0364fb742de8db8b4162369bb632601165c42365b5578f31a00e7dfb995c88c	5020	7bb511140bd1c2e59c02e9c9d1510e15d6d02b7f74298cc716ff39d9499a7917	5380	5aaad475e81cfff3ab2b658c8b7e6d93e449f49f45d33cbd2c0ed0c57f9c4879	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp______Sdw_HemEnvPntSSSS.fpo	fixed_spc_pntssss	26000	161a12eab0f620664d32f42bafa6b04a058955bc53821cf4cd9332b25e497a4b	5660	38695a346b95b13ede52b3037f5e6654fa644b35099a37ab0982d73d30116864	6020	dfa51ad59645fd96c0afcc9ad8684b7a35faeeb15e2a1c52966d49080cb3eaa8	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp__________HemEnvPntSS.fpo	fixed_spc_pntss	19324	4c730143360b484dabc477460dddeae0bdef7bb7bcee500cd1b5fbf492cf5525	3508	07881d89fefe89dbd4b58dc8db8b46c7ab45c5bac18e1c5ad82cae0e3ae94c2a	3880	0491009c593548682a2455e198cbdaa15fe271ed1423b2bb2ee020b80e65fd48	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpcBmp__________HemEnvPntSSSS.fpo	fixed_spc_pntssss	22976	04a3dd377b415673f6fbac8d345c90bf1aa0ef8daba7d3d620463167cac1cb38	4148	f1c7626a2a0862021bb4a331e99ca740e0c5fb38eaa69c583ae00e33255a3e25	4520	4138766da5150ad0ebf8559b724f6f668a962f6db2e11512e32f4b705fd3b75c	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___MulLitCsd_HemEnvPntSS.fpo	fixed_spc_pntss	22764	add19a6d411589298f7efb3cc1a186dd50338b7b7d0653af8a2a9f63f96ce992	5684	02e69e084b4c51ec9a88f25dcdacb57dbed108c4f34b1bb15947f0ed2c5902a8	6044	9aca5d5dfb5333a703f3fd6de934c69de6ed19bce086b0169eef99b4a272e894	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___MulLitCsd_HemEnvPntSSSS.fpo	fixed_spc_pntssss	26380	e007197d658de20b35364d58ac262957c954866207871676fea855bf489c8f6b	6324	5b8b07b9d06758383c678bc37ca862d6993034e58bbfd8271fc820dfd93d621a	6684	5aef858c032abd0885d3edd285def610471be3746584e757cfdb19928115082e	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
FRPG_Phn_DifSpc___MulLitSdw_HemEnvPntSS.fpo	fixed_spc_pntss	21700	d0e59d318fb2f0fe02e154ea3d30dcd73c3fa31cbeff2fbd31fe681d088d6a86	4868	91b1511594e318bd07f2e70d61b0d64b9afe741f44d43fe6d6e24f2c671fe81b	5228	d884832c9593ab830692444280c0416a608c01f7481858b55c8a138df3ec9d30	57314b36812dfa2867512052278a08dc0da8a41ea0414c1fbbe4ccdf45838076
